,"Population, female (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, male (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, total both sexes (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, urban (%)",,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,a,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,a,2011,a
Country,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),
Afghanistan,"6,824.16",,"6,074.72",,"6,271.99",,"9,533.38",,"11,019.46",,"13,320.45",,"13,710.79",,"14,062.02",,"14,398.54",,"14,756.14",,"15,160.17",,"15,618.48",,"7,361.57",,"6,550.57",,"6,760.17",,"10,256.50",,"11,836.85",,"14,294.27",,"14,710.19",,"15,083.83",,"15,441.46",,"15,821.61",,"16,251.57",,"16,739.78",,"14,185.7",,"12,625.3",,"13,032.2",,"19,789.9",,"22,856.3",,"27,614.7",,"28,421.0",,"29,145.8",,"29,840.0",,"30,577.8",,"31,411.7",,"32,358.3",,15.7,,16.9,,18.1,,19.1,,20.2,,21.3,,21.5,,21.8,,22.0,,22.3,,22.6,,22.9,
Albania,"1,292.80",,"1,432.47",,"1,602.44",,"1,558.16",,"1,539.00",,"1,572.77",,"1,579.02",,"1,584.28",,"1,589.01",,"1,593.97",,"1,599.69",,"1,606.24",,"1,378.50",,"1,524.92",,"1,687.05",,"1,582.94",,"1,532.86",,"1,569.03",,"1,577.59",,"1,585.39",,"1,592.39",,"1,598.75",,"1,604.60",,"1,609.75",,"2,671.3",,"2,957.4",,"3,289.5",,"3,141.1",,"3,071.9",,"3,141.8",,"3,156.6",,"3,169.7",,"3,181.4",,"3,192.7",,"3,204.3",,"3,216.0",,33.8,,35.1,,36.4,,38.9,,41.7,,46.7,,47.8,,48.9,,49.9,,50.9,,51.9,,52.9,
Algeria,"9,371.38",,"10,986.75",,"12,557.00",,"14,023.85",,"15,130.96",,"16,292.11",,"16,540.77",,"16,795.11",,"17,052.99",,"17,311.37",,"17,567.86",,"17,821.51",,"9,439.82",,"11,111.55",,"12,742.19",,"14,267.74",,"15,402.87",,"16,596.34",,"16,851.19",,"17,111.49",,"17,375.04",,"17,638.80",,"17,900.34",,"18,158.68",,"18,811.2",,"22,098.3",,"25,299.2",,"28,291.6",,"30,533.8",,"32,888.4",,"33,392.0",,"33,906.6",,"34,428.0",,"34,950.2",,"35,468.2",,"35,980.2",,43.5,,48.0,,52.1,,56.0,,59.8,,63.3,,64.0,,64.6,,65.3,,65.9,,66.5,,67.1,
Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,37.3,,47.4,,52.8,,64.7,,64.6,,77.9,,79.9,,81.4,,82.6,,83.7,,84.9,,86.2,,92.1,,95.2,,94.7,,93.7,,92.4,,90.3,,89.8,,89.3,,88.9,,88.4,,88.0,,87.6,
Angola,"3,881.62",,"4,599.90",,"5,246.92",,"6,146.79",,"7,057.97",,"8,337.21",,"8,597.47",,"8,854.61",,"9,110.59",,"9,368.90",,"9,632.08",,"9,900.16",,"3,756.80",,"4,465.66",,"5,088.13",,"5,958.31",,"6,868.40",,"8,151.81",,"8,412.90",,"8,670.76",,"8,927.37",,"9,186.21",,"9,449.84",,"9,718.27",,"7,638.4",,"9,065.6",,"10,335.1",,"12,105.1",,"13,926.4",,"16,489.0",,"17,010.4",,"17,525.4",,"18,038.0",,"18,555.1",,"19,081.9",,"19,618.4",,24.3,,30.3,,37.1,,44.0,,49.0,,54.0,,54.9,,55.8,,56.7,,57.6,,58.5,,59.4,
Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,70.2,,65.6,,62.2,,68.6,,77.7,,83.9,,85.0,,85.9,,86.9,,87.8,,88.7,,89.6,,34.6,,35.0,,35.4,,34.0,,32.1,,30.7,,30.6,,30.5,,30.4,,30.3,,30.3,,30.4,
Argentina,"14,256.87",,"15,423.20",,"16,624.55",,"17,766.10",,"18,843.66",,"19,756.99",,"19,933.87",,"20,110.66",,"20,287.79",,"20,465.52",,"20,643.97",,"20,823.47",,"13,874.17",,"14,931.04",,"16,017.89",,"17,089.06",,"18,087.05",,"18,924.18",,"19,089.98",,"19,257.41",,"19,426.51",,"19,596.95",,"19,768.41",,"19,941.09",,"28,131.0",,"30,354.2",,"32,642.4",,"34,855.2",,"36,930.7",,"38,681.2",,"39,023.9",,"39,368.1",,"39,714.3",,"40,062.5",,"40,412.4",,"40,764.6",,82.9,,85.0,,87.0,,88.7,,90.1,,91.4,,91.6,,91.8,,92.0,,92.2,,92.4,,92.6,
Armenia,"1,587.01",,"1,706.35",,"1,825.30",,"1,694.94",,"1,630.61",,"1,635.01",,"1,638.37",,"1,641.74",,"1,645.16",,"1,648.84",,"1,652.89",,"1,657.23",,"1,509.28",,"1,632.80",,"1,719.40",,"1,528.23",,"1,445.49",,"1,430.95",,"1,431.48",,"1,432.45",,"1,433.93",,"1,436.14",,"1,439.18",,"1,443.00",,"3,096.3",,"3,339.1",,"3,544.7",,"3,223.2",,"3,076.1",,"3,066.0",,"3,069.8",,"3,074.2",,"3,079.1",,"3,085.0",,"3,092.1",,"3,100.2",,66.1,,67.1,,67.4,,66.1,,64.7,,64.1,,64.1,,64.1,,64.1,,64.1,,64.2,,64.3,
