,"Adult literacy rate, both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,Combined gross enrolment in education (both sexes),,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Expected Years of Schooling (of children),,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Mean years of schooling (of adults),,,,,,,,,,,,,,,,,,,,,,,,,,Public expenditure on education (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,b,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,c,2007,c,2008,c,2009,c,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a
Country,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),
Afghanistan,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.4,,..,,..,,51.4,d,56.4,d,55.0,d,..,d,60.0,d,..,,..,,60.0,,1.7,,2.2,,2.6,,2.4,,2.2,,7.6,,8.4,,8.2,,8.7,,9.1,,9.1,,9.1,,9.1,,0.8,,1.2,,1.5,,1.9,,2.2,,2.6,,2.7,,2.9,,3.0,,3.2,,3.3,,3.3,b,3.3,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Albania,..,,..,,..,,..,,..,,..,,..,,..,,95.9,,..,,..,,..,,95.9,,..,,27.6,,26.9,,..,,68.0,,..,,..,,..,,..,,..,,..,,..,,..,,12.0,,11.3,,11.5,,10.4,,11.0,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,6.8,,7.6,,8.5,,9.3,,9.9,,10.2,,10.2,,10.3,,10.3,,10.3,,10.4,,10.4,b,10.4,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.9,
Algeria,..,,..,,..,,..,,..,,..,,72.6,,..,,..,,..,,..,,..,,72.6,,40.4,,..,,41.9,,42.1,,..,,74.0,d,..,,..,,..,,78.0,,..,,..,,78.0,d,8.3,,9.4,,9.9,,10.1,,11.4,,12.8,,13.0,,13.2,,13.4,,13.6,,13.6,,13.6,,13.6,,1.7,,2.4,,3.3,,4.4,,5.5,,6.4,,6.5,,6.7,,6.8,,6.9,,7.0,,7.0,b,7.0,,..,,..,,..,,..,,..,,..,,..,,..,,4.3,,..,,..,,..,,4.3,
Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.3,,62.6,,..,,67.0,,..,,..,,..,,67.0,,10.8,,10.8,,10.8,,10.8,,10.8,,10.5,,10.9,,11.2,,11.5,,11.5,,11.5,,11.5,,11.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.4,,10.4,"b,e",10.4,,..,,..,,..,,..,,..,,2.0,,2.7,,2.6,,3.2,,..,,..,,..,,3.2,
Angola,..,,..,,..,,..,,..,,..,,..,,..,,..,,70.0,,..,,..,,70.0,,..,,..,,26.9,,..,,..,,..,,..,,57.8,,..,,..,,..,,..,,57.8,,4.1,,4.1,,4.0,,4.1,,5.4,,8.0,,8.5,,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,,..,,..,,..,,..,,4.4,,4.4,,4.4,,4.4,,4.4,,4.4,,4.4,,4.4,"b,f",4.4,,..,,..,,..,,..,,2.6,,2.6,,2.6,,..,,..,,..,,..,,..,,2.6,
Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,99.0,,..,,..,,99.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,83.5,,..,,..,,83.5,,14.4,,14.4,,14.4,,14.4,,14.4,,14.4,,14.4,,14.4,,14.2,,14.0,,14.0,,14.0,,14.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.9,,8.9,"b,g",8.9,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,..,,..,,2.7,
Argentina,93.9,,..,,..,,..,,..,,..,,..,,..,,..,,97.7,,..,,..,,97.7,,53.1,,59.1,,..,,..,,87.6,d,89.7,,90.9,,91.0,,92.0,,..,,..,,..,,92.0,,11.4,,12.8,,13.3,,13.5,,14.8,,15.3,,15.5,,15.6,,15.8,,15.8,,15.8,,15.8,,15.8,,6.7,,7.4,,7.9,,8.3,,8.6,,8.9,,9.0,,9.0,,9.1,,9.2,,9.3,,9.3,b,9.3,,2.6,,1.4,,..,,..,,4.6,,..,,4.5,,4.9,,..,,..,,..,,..,,4.9,
Armenia,..,,..,,..,,..,,..,,..,,..,,..,,..,,99.5,,..,,..,,99.5,,..,,..,,..,,..,,75.5,,71.2,,73.1,,74.7,,74.5,,76.3,,..,,..,,76.3,,9.9,,9.9,,9.9,,9.9,,11.0,,11.1,,11.5,,11.9,,11.8,,12.0,,12.0,,12.0,,12.0,,9.2,,9.6,,10.1,,10.4,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,b,10.8,,..,,..,,..,,..,,2.8,,2.7,,2.7,,3.0,,..,,..,,..,,..,,3.0,
