,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,,,,,,,,,,,,,,"GII: Gender Inequality Index, value",,,,,,,,,,,,,,,,,,,,,,"Labour force participation rate, female-male ratio",,,,,,,,,,,,,,,,,,,,,,"Population with at least secondary education, female/male ratio",,,,,,,,,,,,,,,,,,,,,,Maternal mortality ratio,,,,,,,,,,,,,,,,,,,,,,"Shares in parliament, female-male ratio",,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,a,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,,,,,,,,,,,,,,,,,,,,,,,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,..,,..,,..,,..,,212.4,,161.2,,..,,..,,121.3,,..,,121.3,,..,,..,,..,,..,,..,,0.709,,..,,..,,..,,..,,0.707,,0.408,,0.396,,0.386,,0.376,,0.371,,0.379,,0.382,,0.386,,0.390,,0.392,,..,,0.127,,0.131,,0.151,,0.215,,0.253,,0.275,,..,,..,,..,,..,,..,,..,,..,,"1,700",,"1,800",,"1,800",,"1,500",,..,,..,,"1,400",,..,,..,,..,,..,,..,,..,,..,,0.350,,..,,..,,0.349,,0.350,,0.382,
Albania,..,,..,,..,,..,,11.8,,17.4,,..,,..,,14.2,,..,,14.2,,..,,..,,..,,0.606,,..,,0.333,,..,,..,,..,,..,,0.271,,0.697,,0.697,,0.690,,0.681,,0.689,,0.693,,0.693,,0.694,,0.694,,0.700,,..,,0.755,,0.798,,0.845,,0.877,,0.882,,0.916,,..,,..,,..,,..,,..,,..,,..,,48,,44,,41,,34,,..,,..,,31,,..,,..,,..,,..,,..,,..,,..,,0.077,,..,,..,,0.077,,0.197,,0.197,
Algeria,..,,..,,..,,..,,11.8,,8.5,,..,,..,,7.3,,..,,7.3,,..,,..,,..,,0.462,,0.520,,0.457,,..,,..,,..,,..,,0.412,,0.274,,0.276,,0.304,,0.340,,0.396,,0.437,,0.446,,0.453,,0.458,,0.467,,..,,0.357,,0.385,,0.459,,0.523,,0.577,,0.643,,..,,..,,..,,..,,..,,..,,..,,250,,180,,140,,120,,..,,..,,120,,..,,..,,..,,..,,..,,..,,0.042,,0.055,,..,,..,,0.069,,0.076,,0.076,
Andorra,..,,..,,..,,..,,8.0,,9.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.998,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.400,,..,,..,,0.333,,0.555,,0.556,
Angola,..,,..,,..,,..,,215.1,,201.0,,..,,..,,123.7,,..,,123.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.832,,0.829,,0.821,,0.829,,0.833,,0.836,,0.836,,0.837,,0.839,,0.842,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"1,000",,"1,000",,880,,720,,..,,..,,610,,..,,..,,..,,..,,..,,..,,..,,0.176,,..,,..,,0.594,,0.630,,0.630,
Antigua and Barbuda,..,,..,,..,,..,,68.7,,62.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.091,,0.161,,..,,..,,0.200,,0.241,,0.241,
Argentina,..,,..,,..,,..,,69.8,,60.7,,..,,..,,56.9,,..,,56.9,,..,,..,,..,,0.426,,0.423,,0.381,,..,,..,,..,,..,,0.372,,0.504,,0.529,,0.550,,0.538,,0.589,,0.642,,0.653,,0.653,,0.655,,0.669,,..,,0.954,,0.897,,0.945,,0.975,,1.009,,1.026,,..,,..,,..,,..,,..,,..,,..,,72,,61,,63,,70,,..,,..,,70,,..,,..,,..,,..,,..,,..,,0.270,,0.597,,..,,..,,0.660,,0.608,,0.608,
Armenia,..,,..,,..,,..,,53.0,,37.9,,..,,..,,35.7,,..,,35.7,,..,,..,,..,,0.429,,0.455,,0.390,,..,,..,,..,,..,,0.343,,0.784,,0.780,,0.782,,0.784,,0.789,,0.799,,0.800,,0.801,,0.799,,0.799,,..,,0.936,,0.948,,0.961,,0.968,,0.973,,0.983,,..,,..,,..,,..,,..,,..,,..,,51,,44,,34,,32,,..,,..,,29,,..,,..,,..,,..,,..,,..,,0.031,,0.056,,..,,..,,0.092,,0.101,,0.101,
