,HDI: Education index,,,,,,,,,,,,,,,,,,,,HDI: Health index,,,,,,,,,,,,,,,,,,,,HDI: Income index,,,,,,,,,,,,,,,,,,,,HDI: Human Development Index (HDI) value,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2011,
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.077,,0.107,,0.131,,0.141,,0.145,,0.296,,0.321,,0.325,,0.342,,0.367,,0.303,,0.328,,0.352,,0.376,,0.399,,0.420,,0.424,,0.429,,0.434,,0.452,,0.330,,0.364,,0.322,,0.254,,0.211,,0.317,,0.327,,0.343,,0.342,,0.380,,0.198,,0.234,,0.246,,0.238,,0.230,,0.340,,0.354,,0.363,,0.370,,0.398,
Albania,0.601,,0.617,,0.660,,0.654,,0.693,,0.715,,0.716,,0.717,,0.718,,0.721,,0.783,,0.810,,0.814,,0.818,,0.854,,0.883,,0.886,,0.889,,0.891,,0.898,,..,,..,,0.526,,0.515,,0.558,,0.593,,0.599,,0.608,,0.616,,0.624,,..,,..,,0.656,,0.651,,0.691,,0.721,,0.724,,0.729,,0.733,,0.739,
Algeria,0.253,,0.320,,0.384,,0.446,,0.528,,0.603,,0.613,,0.624,,0.635,,0.652,,0.625,,0.690,,0.743,,0.765,,0.790,,0.815,,0.819,,0.823,,0.827,,0.838,,0.590,,0.601,,0.587,,0.569,,0.582,,0.605,,0.607,,0.613,,0.615,,0.621,,0.454,,0.510,,0.551,,0.579,,0.624,,0.667,,0.673,,0.680,,0.686,,0.698,
Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.727,,0.865,,0.881,,0.891,,0.906,,0.929,,0.949,,0.952,,0.954,,0.956,,0.961,,0.808,,0.783,,0.799,,0.781,,0.808,,0.833,,0.839,,0.838,,0.841,,0.843,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.838,
Angola,..,,..,,..,,..,,0.326,,0.397,,0.409,,0.422,,0.422,,0.422,,0.318,,0.328,,0.334,,0.348,,0.398,,0.451,,0.458,,0.465,,0.471,,0.490,,..,,..,,0.464,,0.395,,0.435,,0.494,,0.516,,0.534,,0.544,,0.557,,..,,..,,..,,..,,0.384,,0.445,,0.459,,0.471,,0.476,,0.486,
Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.744,,0.739,,0.756,,0.771,,0.786,,0.804,,0.817,,0.819,,0.822,,0.824,,0.830,,0.585,,0.632,,0.676,,0.687,,0.697,,0.715,,0.731,,0.743,,0.742,,0.723,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.764,
Argentina,0.583,,0.650,,0.681,,0.707,,0.751,,0.777,,0.786,,0.790,,0.799,,0.806,,0.779,,0.798,,0.813,,0.831,,0.848,,0.865,,0.868,,0.871,,0.874,,0.882,,0.659,,0.624,,0.612,,0.651,,0.660,,0.666,,0.678,,0.689,,0.696,,0.713,,0.669,,0.687,,0.697,,0.726,,0.749,,0.765,,0.773,,0.780,,0.786,,0.797,
Armenia,0.634,,0.648,,0.665,,0.677,,0.726,,0.728,,0.743,,0.756,,0.751,,0.760,,0.803,,0.784,,0.755,,0.769,,0.807,,0.839,,0.842,,0.846,,0.848,,0.856,,..,,..,,..,,0.405,,0.453,,0.536,,0.555,,0.573,,0.583,,0.566,,..,,..,,..,,0.595,,0.643,,0.689,,0.703,,0.715,,0.719,,0.716,
Australia,0.946,,0.947,,0.952,,0.973,,0.974,,0.977,,0.978,,0.978,,0.979,,0.981,,0.857,,0.876,,0.895,,0.917,,0.939,,0.961,,0.965,,0.967,,0.970,,0.976,,0.757,,0.765,,0.779,,0.788,,0.812,,0.824,,0.826,,0.828,,0.831,,0.837,,0.850,,0.859,,0.873,,0.889,,0.906,,0.918,,0.920,,0.922,,0.924,,0.929,
Austria,0.640,,0.669,,0.709,,0.751,,0.785,,0.813,,0.824,,0.829,,0.840,,0.858,,0.829,,0.851,,0.875,,0.894,,0.916,,0.940,,0.944,,0.948,,0.951,,0.960,,0.765,,0.776,,0.793,,0.803,,0.822,,0.831,,0.835,,0.840,,0.842,,0.842,,0.740,,0.762,,0.790,,0.814,,0.839,,0.860,,0.866,,0.870,,0.876,,0.885,
Azerbaijan,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.671,,0.709,,0.720,,0.708,,0.704,,0.739,,0.773,,0.780,,0.786,,0.791,,0.800,,..,,..,,..,,0.419,,0.452,,0.526,,0.566,,0.592,,0.612,,0.639,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.700,
Bahamas,..,,..,,..,,..,,0.657,,0.674,,0.671,,0.671,,0.671,,0.671,,0.752,,0.772,,0.778,,0.790,,0.816,,0.847,,0.854,,0.860,,0.865,,0.877,,0.757,,0.768,,0.778,,0.766,,0.792,,0.786,,0.791,,0.792,,0.789,,0.779,,..,,..,,..,,..,,0.752,,0.766,,0.768,,0.770,,0.771,,0.771,
Bahrain,0.427,,0.551,,0.602,,0.656,,0.703,,0.730,,0.734,,0.737,,0.741,,0.747,,0.783,,0.810,,0.825,,0.836,,0.847,,0.857,,0.858,,0.860,,0.862,,0.868,,0.826,,0.767,,0.754,,0.768,,0.777,,0.802,,0.809,,0.819,,0.821,,0.808,,0.651,,0.700,,0.721,,0.750,,0.773,,0.795,,0.799,,0.804,,0.806,,0.806,
