,"Expenditure on health, public (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Life expectancy at birth,,,,,,,,,,,,,,,,,,,,,,,,,,Under-five mortality rate,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,
Country,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",,"(per 1,000 live births)",
Afghanistan,..,,..,,..,,..,,..,,2.1,,2.1,,1.8,,..,,1.8,,..,,..,,1.8,,39.2,,40.8,,42.3,,43.8,,45.3,,46.6,,46.9,,47.2,,47.5,,47.9,,48.3,,48.7,,48.7,,282,,..,,250,,..,,222,,208,,..,,204,,201,,199,,..,,..,,199,
Albania,..,,..,,..,,..,,..,,2.6,,2.5,,2.9,,..,,2.9,,..,,..,,2.9,,69.7,,71.4,,71.6,,71.8,,74.2,,76.0,,76.2,,76.3,,76.5,,76.6,,76.8,,76.9,,76.9,,74,,..,,51,,..,,27,,20,,..,,17,,16,,15,,..,,..,,15,
Algeria,..,,..,,..,,..,,..,,2.7,,3.5,,3.6,,..,,3.6,,..,,..,,3.6,,59.6,,63.8,,67.1,,68.5,,70.1,,71.7,,72.0,,72.2,,72.4,,72.7,,72.9,,73.1,,73.1,,134,,..,,61,,..,,46,,38,,..,,35,,34,,32,,..,,..,,32,
Andorra,..,,..,,..,,..,,..,,5.0,,5.2,,5.3,,..,,5.3,,..,,..,,5.3,,74.9,,75.8,,76.5,,77.4,,78.9,,80.2,,80.3,,80.5,,80.6,,80.7,,80.8,,80.9,,80.9,,—,,..,,9,,..,,5,,4,,..,,4,,4,,4,,..,,..,,4,
Angola,..,,..,,..,,..,,..,,1.6,,2.3,,2.0,,..,,2.0,,..,,..,,2.0,,40.2,,40.8,,41.2,,42.1,,45.2,,48.6,,49.0,,49.5,,49.9,,50.3,,50.7,,51.1,,51.1,,267,,..,,258,,..,,212,,182,,..,,171,,166,,161,,..,,..,,161,
Antigua and Barbuda,..,,..,,..,,..,,..,,3.2,,3.6,,3.2,,..,,3.2,,..,,..,,3.2,,66.9,,67.9,,68.9,,69.8,,70.9,,71.8,,72.0,,72.1,,72.2,,72.4,,72.5,,72.6,,72.6,,—,,..,,—,,..,,19,,15,,..,,13,,12,,12,,..,,..,,12,
Argentina,..,,..,,..,,..,,..,,4.7,,4.7,,5.1,,..,,5.1,,..,,..,,5.1,,69.4,,70.6,,71.5,,72.7,,73.8,,74.8,,75.0,,75.2,,75.4,,75.6,,75.7,,75.9,,75.9,,43,,..,,28,,..,,21,,17,,..,,15,,15,,14,,..,,..,,14,
Armenia,..,,..,,..,,..,,..,,1.8,,1.9,,2.1,,..,,2.1,,..,,..,,2.1,,70.9,,69.7,,67.9,,68.8,,71.2,,73.2,,73.4,,73.6,,73.8,,74.0,,74.1,,74.2,,74.2,,73,,..,,56,,..,,36,,27,,..,,24,,23,,22,,..,,..,,22,
Australia,..,,..,,..,,..,,..,,5.8,,5.9,,6.0,,..,,6.0,,..,,..,,6.0,,74.4,,75.6,,76.8,,78.1,,79.5,,80.9,,81.2,,81.3,,81.5,,81.7,,81.8,,81.9,,81.9,,13,,..,,9,,..,,6,,6,,..,,5,,5,,5,,..,,..,,5,
Austria,..,,..,,..,,..,,..,,7.9,,7.8,,7.7,,..,,7.7,,..,,..,,7.7,,72.5,,74.0,,75.5,,76.7,,78.1,,79.6,,79.9,,80.1,,80.3,,80.5,,80.7,,80.9,,80.9,,16,,..,,9,,..,,5,,5,,..,,5,,4,,4,,..,,..,,4,
Azerbaijan,..,,..,,..,,..,,..,,0.9,,0.9,,1.0,,..,,1.0,,..,,..,,1.0,,64.9,,65.6,,64.9,,64.7,,66.9,,69.0,,69.4,,69.8,,70.2,,70.4,,70.6,,70.7,,70.7,,107,,..,,98,,..,,69,,46,,..,,39,,36,,34,,..,,..,,34,
Bahamas,..,,..,,..,,..,,..,,3.2,,3.4,,3.7,,..,,3.7,,..,,..,,3.7,,67.7,,69.0,,69.4,,70.1,,71.8,,73.7,,74.1,,74.5,,74.8,,75.1,,75.4,,75.6,,75.6,,43,,..,,25,,..,,20,,16,,..,,14,,13,,12,,..,,..,,12,
Bahrain,..,,..,,..,,..,,..,,2.6,,2.5,,2.6,,..,,2.6,,..,,..,,2.6,,69.6,,71.3,,72.3,,73.0,,73.7,,74.3,,74.4,,74.5,,74.7,,74.8,,74.9,,75.1,,75.1,,31,,..,,16,,..,,13,,12,,..,,12,,12,,12,,..,,..,,12,
Bangladesh,..,,..,,..,,..,,..,,1.1,,1.2,,1.1,,..,,1.1,,..,,..,,1.1,,55.2,,56.9,,59.5,,62.1,,64.7,,66.9,,67.3,,67.7,,68.0,,68.3,,68.6,,68.9,,68.9,,204,,..,,148,,..,,90,,66,,..,,59,,55,,52,,..,,..,,52,
Barbados,..,,..,,..,,..,,..,,4.5,,4.6,,4.4,,..,,4.4,,..,,..,,4.4,,72.1,,73.6,,74.7,,75.2,,75.5,,76.0,,76.1,,76.2,,76.3,,76.5,,76.7,,76.8,,76.8,,28,,..,,18,,..,,15,,12,,..,,12,,11,,11,,..,,..,,11,
Belarus,..,,..,,..,,..,,..,,5.0,,4.8,,4.9,,..,,4.9,,..,,..,,4.9,,70.8,,71.1,,70.7,,68.8,,68.1,,68.9,,69.1,,69.3,,69.6,,69.8,,70.1,,70.3,,70.3,,26,,..,,24,,..,,18,,14,,..,,13,,13,,12,,..,,..,,12,
Belgium,..,,..,,..,,..,,..,,7.4,,7.2,,7.0,,..,,7.0,,..,,..,,7.0,,73.3,,74.8,,76.1,,76.9,,77.8,,79.0,,79.3,,79.5,,79.7,,79.9,,80.0,,80.0,,80.0,,15,,..,,10,,..,,6,,5,,..,,5,,5,,5,,..,,..,,5,
Belize,..,,..,,..,,..,,..,,2.1,,2.2,,2.6,,..,,2.6,,..,,..,,2.6,,70.2,,71.5,,72.5,,73.1,,73.5,,74.5,,74.8,,75.1,,75.4,,75.6,,75.9,,76.1,,76.1,,69,,..,,43,,..,,27,,22,,..,,20,,19,,18,,..,,..,,18,
Benin,..,,..,,..,,..,,..,,2.4,,2.4,,2.5,,..,,2.5,,..,,..,,2.5,,45.3,,46.9,,48.7,,51.0,,52.7,,53.9,,54.2,,54.5,,54.9,,55.2,,55.7,,56.1,,56.1,,212,,..,,184,,..,,144,,129,,..,,123,,121,,118,,..,,..,,118,
Bhutan,..,,..,,..,,..,,..,,2.6,,2.6,,3.3,,..,,3.3,,..,,..,,3.3,,46.3,,49.3,,52.5,,56.7,,61.3,,64.8,,65.3,,65.7,,66.1,,66.4,,66.8,,67.2,,67.2,,206,,..,,148,,..,,106,,90,,..,,84,,81,,79,,..,,..,,79,
Bolivia (Plurinational State of),..,,..,,..,,..,,..,,3.8,,3.5,,3.4,,..,,3.4,,..,,..,,3.4,,52.0,,55.7,,58.8,,61.1,,63.0,,64.7,,65.1,,65.4,,65.7,,66.0,,66.3,,66.6,,66.6,,170,,..,,122,,..,,86,,65,,..,,58,,54,,51,,..,,..,,51,
Bosnia and Herzegovina,..,,..,,..,,..,,..,,5.1,,5.2,,5.6,,..,,5.6,,..,,..,,5.6,,70.5,,71.5,,66.7,,67.8,,74.5,,74.8,,74.9,,75.1,,75.2,,75.4,,75.5,,75.7,,75.7,,33,,..,,23,,..,,17,,16,,..,,15,,15,,14,,..,,..,,14,
Botswana,..,,..,,..,,..,,..,,5.7,,4.5,,4.3,,..,,4.3,,..,,..,,4.3,,60.6,,63.0,,64.2,,59.3,,50.9,,50.6,,51.4,,52.2,,52.8,,53.2,,53.3,,53.2,,53.2,,82,,..,,60,,..,,99,,66,,..,,59,,59,,57,,..,,..,,57,
Brazil,..,,..,,..,,..,,..,,3.3,,3.5,,3.5,,..,,3.5,,..,,..,,3.5,,62.5,,64.4,,66.3,,68.3,,70.1,,71.6,,71.8,,72.1,,72.5,,72.8,,73.1,,73.5,,73.5,,90,,..,,56,,..,,34,,26,,..,,23,,22,,21,,..,,..,,21,
Brunei Darussalam,..,,..,,..,,..,,..,,2.1,,1.9,,1.9,,..,,1.9,,..,,..,,1.9,,70.6,,72.1,,73.5,,74.8,,76.1,,77.2,,77.3,,77.5,,77.6,,77.7,,77.9,,78.0,,78.0,,19,,..,,11,,..,,8,,7,,..,,7,,7,,7,,..,,..,,7,
Bulgaria,..,,..,,..,,..,,..,,4.7,,4.1,,4.2,,..,,4.2,,..,,..,,4.2,,71.2,,71.3,,71.3,,70.9,,71.4,,72.4,,72.6,,72.7,,72.8,,73.0,,73.2,,73.4,,73.4,,24,,..,,18,,..,,18,,13,,..,,12,,11,,10,,..,,..,,10,
Burkina Faso,..,,..,,..,,..,,..,,4.0,,3.6,,3.4,,..,,3.4,,..,,..,,3.4,,46.4,,48.1,,48.5,,49.1,,50.3,,52.5,,53.0,,53.6,,54.1,,54.5,,55.0,,55.4,,55.4,,236,,..,,201,,..,,188,,176,,..,,171,,169,,166,,..,,..,,166,
Burundi,..,,..,,..,,..,,..,,4.0,,5.1,,5.2,,..,,5.2,,..,,..,,5.2,,47.0,,48.2,,46.3,,44.7,,46.1,,47.8,,48.2,,48.6,,49.1,,49.5,,50.0,,50.4,,50.4,,191,,..,,189,,..,,178,,171,,..,,169,,168,,166,,..,,..,,166,
Cambodia,..,,..,,..,,..,,..,,1.5,,1.5,,1.7,,..,,1.7,,..,,..,,1.7,,38.7,,52.6,,55.6,,56.2,,57.6,,60.1,,60.7,,61.2,,61.7,,62.2,,62.7,,63.1,,63.1,,153,,..,,117,,..,,106,,96,,..,,91,,90,,88,,..,,..,,88,
Cameroon,..,,..,,..,,..,,..,,1.2,,1.2,,1.3,,..,,1.3,,..,,..,,1.3,,51.2,,52.9,,53.3,,52.0,,50.1,,49.4,,49.6,,49.8,,50.2,,50.6,,51.1,,51.6,,51.6,,168,,..,,148,,..,,156,,156,,..,,155,,155,,154,,..,,..,,154,
Canada,..,,..,,..,,..,,..,,7.0,,7.0,,7.1,,..,,7.1,,..,,..,,7.1,,75.0,,76.4,,77.3,,78.1,,79.1,,80.1,,80.3,,80.5,,80.6,,80.8,,80.9,,81.0,,81.0,,13,,..,,8,,..,,6,,6,,..,,6,,6,,6,,..,,..,,6,
Cape Verde,..,,..,,..,,..,,..,,3.5,,3.8,,3.4,,..,,3.4,,..,,..,,3.4,,59.9,,62.8,,65.3,,67.4,,69.7,,72.4,,72.9,,73.3,,73.6,,73.8,,74.0,,74.2,,74.2,,98,,..,,63,,..,,41,,33,,..,,30,,29,,28,,..,,..,,28,
Central African Republic,..,,..,,..,,..,,..,,1.9,,1.5,,1.4,,..,,1.4,,..,,..,,1.4,,48.8,,49.8,,48.8,,46.1,,43.7,,44.4,,44.9,,45.5,,46.2,,46.9,,47.7,,48.4,,48.4,,184,,..,,175,,..,,184,,177,,..,,174,,172,,171,,..,,..,,171,
Chad,..,,..,,..,,..,,..,,1.9,,2.6,,2.7,,..,,2.7,,..,,..,,2.7,,47.9,,50.0,,50.7,,49.9,,48.5,,48.1,,48.2,,48.4,,48.6,,48.9,,49.2,,49.6,,49.6,,228,,..,,201,,..,,205,,209,,..,,209,,209,,209,,..,,..,,209,
Chile,..,,..,,..,,..,,..,,3.5,,3.4,,3.7,,..,,3.7,,..,,..,,3.7,,69.2,,72.0,,73.7,,75.2,,77.0,,78.4,,78.5,,78.7,,78.8,,78.9,,79.0,,79.1,,79.1,,38,,..,,22,,..,,11,,9,,..,,9,,9,,9,,..,,..,,9,
China,..,,..,,..,,..,,..,,1.8,,1.9,,1.9,,..,,1.9,,..,,..,,1.9,,67.0,,68.3,,69.4,,70.4,,71.2,,72.1,,72.4,,72.6,,72.8,,73.0,,73.2,,73.5,,73.5,,59,,..,,46,,..,,36,,25,,..,,22,,21,,19,,..,,..,,19,
Colombia,..,,..,,..,,..,,..,,5.3,,5.2,,5.1,,..,,5.1,,..,,..,,5.1,,65.5,,67.6,,68.3,,69.4,,71.0,,72.3,,72.6,,72.8,,73.0,,73.3,,73.5,,73.7,,73.7,,52,,..,,35,,..,,26,,22,,..,,20,,20,,19,,..,,..,,19,
Comoros,..,,..,,..,,..,,..,,1.7,,1.8,,1.9,,..,,1.9,,..,,..,,1.9,,52.0,,54.0,,55.6,,56.7,,57.9,,59.0,,59.3,,59.6,,59.9,,60.3,,60.6,,61.1,,61.1,,159,,..,,128,,..,,114,,108,,..,,106,,105,,104,,..,,..,,104,
Congo,..,,..,,..,,..,,..,,1.4,,1.5,,1.7,,..,,1.7,,..,,..,,1.7,,56.3,,57.1,,56.3,,54.6,,54.2,,55.1,,55.4,,55.8,,56.2,,56.6,,57.0,,57.4,,57.4,,104,,..,,104,,..,,116,,123,,..,,125,,127,,128,,..,,..,,128,
Congo (Democratic Republic of the),..,,..,,..,,..,,..,,1.2,,1.2,,1.2,,..,,1.2,,..,,..,,1.2,,45.9,,46.4,,46.9,,45.9,,45.7,,47.0,,47.2,,47.4,,47.6,,47.8,,48.1,,48.4,,48.4,,207,,..,,199,,..,,199,,199,,..,,199,,199,,199,,..,,..,,199,
Costa Rica,..,,..,,..,,..,,..,,5.0,,5.3,,5.9,,..,,5.9,,..,,..,,5.9,,72.5,,74.6,,75.7,,76.8,,77.8,,78.6,,78.7,,78.8,,78.9,,79.1,,79.2,,79.3,,79.3,,33,,..,,18,,..,,13,,12,,..,,11,,11,,11,,..,,..,,11,
Croatia,..,,..,,..,,..,,..,,6.1,,6.2,,6.6,,..,,6.6,,..,,..,,6.6,,70.5,,70.9,,71.9,,73.6,,74.8,,75.4,,75.6,,75.9,,76.1,,76.3,,76.5,,76.6,,76.6,,—,,..,,13,,..,,8,,7,,..,,6,,6,,5,,..,,..,,5,
Cuba,..,,..,,..,,..,,..,,8.7,,7.1,,9.9,,..,,9.9,,..,,..,,9.9,,73.5,,74.3,,74.5,,75.2,,76.4,,77.7,,78.0,,78.3,,78.6,,78.8,,79.0,,79.1,,79.1,,23,,..,,14,,..,,9,,7,,..,,6,,6,,6,,..,,..,,6,
Cyprus,..,,..,,..,,..,,..,,2.7,,2.8,,3.0,,..,,3.0,,..,,..,,3.0,,74.8,,75.7,,76.5,,77.3,,78.0,,78.6,,78.7,,78.9,,79.1,,79.2,,79.4,,79.6,,79.6,,20,,..,,10,,..,,6,,5,,..,,4,,4,,4,,..,,..,,4,
Czech Republic,..,,..,,..,,..,,..,,6.3,,6.1,,5.8,,..,,5.8,,..,,..,,5.8,,70.7,,71.1,,71.9,,73.3,,74.9,,76.3,,76.6,,76.9,,77.1,,77.3,,77.5,,77.7,,77.7,,—,,..,,12,,..,,5,,4,,..,,4,,4,,4,,..,,..,,4,
Côte d'Ivoire,..,,..,,..,,..,,..,,0.9,,0.9,,1.0,,..,,1.0,,..,,..,,1.0,,51.3,,53.0,,52.5,,51.0,,50.1,,51.5,,52.1,,52.7,,53.3,,54.0,,54.7,,55.4,,55.4,,164,,..,,152,,..,,142,,129,,..,,124,,121,,119,,..,,..,,119,
Denmark,..,,..,,..,,..,,..,,7.9,,8.1,,8.2,,..,,8.2,,..,,..,,8.2,,74.3,,74.5,,74.9,,75.5,,76.6,,77.8,,78.0,,78.2,,78.3,,78.5,,78.7,,78.8,,78.8,,10,,..,,9,,..,,6,,5,,..,,5,,4,,4,,..,,..,,4,
Djibouti,..,,..,,..,,..,,..,,4.9,,4.8,,5.5,,..,,5.5,,..,,..,,5.5,,47.9,,50.1,,51.4,,52.7,,53.9,,55.6,,56.0,,56.4,,56.8,,57.2,,57.6,,57.9,,57.9,,142,,..,,123,,..,,106,,99,,..,,96,,95,,94,,..,,..,,94,
Dominica,..,,..,,..,,..,,..,,3.7,,3.7,,3.9,,..,,3.9,,..,,..,,3.9,,70.6,,73.4,,75.6,,76.3,,76.5,,76.9,,77.0,,77.1,,77.2,,77.3,,77.4,,77.5,,77.5,,12,,..,,18,,..,,16,,12,,..,,11,,10,,10,,..,,..,,10,
Dominican Republic,..,,..,,..,,..,,..,,1.7,,2.1,,1.9,,..,,1.9,,..,,..,,1.9,,62.9,,65.1,,67.6,,69.5,,70.8,,72.0,,72.2,,72.5,,72.7,,72.9,,73.2,,73.4,,73.4,,95,,..,,62,,..,,39,,35,,..,,33,,33,,32,,..,,..,,32,
Ecuador,..,,..,,..,,..,,..,,2.1,,2.3,,2.3,,..,,2.3,,..,,..,,2.3,,62.9,,66.1,,68.9,,71.3,,73.4,,74.7,,74.9,,75.0,,75.2,,75.3,,75.5,,75.6,,75.6,,95,,..,,53,,..,,34,,28,,..,,26,,25,,24,,..,,..,,24,
Egypt,..,,..,,..,,..,,..,,2.3,,2.6,,2.4,,..,,2.4,,..,,..,,2.4,,56.2,,59.0,,62.0,,65.6,,69.1,,71.6,,71.9,,72.2,,72.5,,72.8,,73.0,,73.2,,73.2,,176,,..,,90,,..,,47,,30,,..,,25,,23,,21,,..,,..,,21,
El Salvador,..,,..,,..,,..,,..,,3.7,,4.1,,3.6,,..,,3.6,,..,,..,,3.6,,56.6,,59.7,,66.0,,69.0,,69.9,,70.9,,71.1,,71.3,,71.5,,71.8,,72.0,,72.2,,72.2,,121,,..,,62,,..,,33,,23,,..,,19,,18,,17,,..,,..,,17,
