,HDI: GDP per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,,HDI: GNI per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,,,,,,,,,,,,,,,,,,,,,,,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),
Afghanistan,..,,..,,..,,..,,..,,835,,904,,878,,875,,"1,200",,..,,"1,002",,"1,271",,948,,589,,435,,913,,980,,"1,099",,"1,086",,"1,287",,"1,416",
Albania,"4,241",,"4,238",,"3,909",,"3,606",,"4,805",,"6,162",,"6,447",,"6,810",,"7,295",,"7,449",,..,,..,,..,,"3,925",,"3,654",,"4,914",,"6,280",,"6,560",,"6,988",,"7,387",,"7,364",,"7,803",
Algeria,"6,358",,"6,847",,"6,215",,"5,631",,"6,087",,"7,176",,"7,210",,"7,316",,"7,379",,"7,421",,..,,"6,167",,"6,660",,"6,009",,"5,328",,"5,802",,"6,820",,"6,927",,"7,223",,"7,317",,"7,368",,"7,658",
Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"28,120",,"23,725",,"26,561",,"23,349",,"28,212",,"33,468",,"34,883",,"34,744",,"35,483",,"36,098",,"36,095",a
Angola,..,,"3,109",,"3,190",,"2,147",,"2,569",,"3,611",,"4,164",,"4,875",,"5,382",,"5,278",,..,,..,,..,,"2,556",,"1,573",,"2,081",,"3,140",,"3,661",,"4,155",,"4,460",,"4,723",,"4,874",
Antigua and Barbuda,"6,034",,"8,329",,"12,713",,"12,762",,"13,928",,"15,792",,"17,660",,"19,032",,"18,846",,"17,052",,..,,"5,949",,"8,230",,"11,242",,"12,084",,"12,998",,"14,720",,"16,524",,"17,949",,"17,773",,"16,051",,"15,521",
Argentina,"10,067",,"8,247",,"7,492",,"9,616",,"10,280",,"10,819",,"11,623",,"12,506",,"13,220",,"13,202",,..,,"9,979",,"7,802",,"7,160",,"9,437",,"10,006",,"10,430",,"11,345",,"12,247",,"12,929",,"12,794",,"14,527",
Armenia,..,,..,,"2,936",,"1,705",,"2,294",,"4,098",,"4,633",,"5,261",,"5,611",,"4,794",,..,,..,,..,,..,,"1,689",,"2,370",,"4,210",,"4,806",,"5,446",,"5,842",,"4,931",,"5,188",
Australia,"20,042",,"21,437",,"23,979",,"25,528",,"29,763",,"32,698",,"33,209",,"33,848",,"34,522",,"34,259",,..,,"19,690",,"20,904",,"23,080",,"24,598",,"28,950",,"31,520",,"31,957",,"32,424",,"33,080",,"33,362",,"34,431",
Austria,"21,154",,"22,723",,"25,665",,"27,562",,"31,697",,"33,377",,"34,373",,"35,576",,"36,193",,"34,673",,..,,"20,919",,"22,492",,"25,473",,"27,135",,"31,163",,"33,050",,"33,996",,"35,145",,"35,694",,"34,310",,"35,719",
Azerbaijan,..,,..,,"4,754",,"1,854",,"2,490",,"4,496",,"5,981",,"7,395",,"8,101",,"8,752",,..,,..,,..,,..,,"1,862",,"2,342",,"3,940",,"5,200",,"6,244",,"7,161",,"8,160",,"8,666",
Bahamas,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"19,700",,"21,271",,"22,916",,"20,960",,"25,174",,"24,164",,"25,018",,"25,184",,"24,650",,"23,129",,"23,029",b
