,IHDI: Income Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted HDI value,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted education index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted income index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted life expectancy index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in education,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in income,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in life expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,b,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,c,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,d,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,b,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,c,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),
Afghanistan,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.223,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.222,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.3,,39.3,,39.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,58.8,,50.9,,58.8,
Albania,..,,..,,..,,..,,..,,..,,..,,..,,34.5,,..,,..,,..,,34.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.637,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.635,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.510,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.797,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.7,,11.9,,12.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.4,e,18.3,,14.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.9,,11.2,,10.9,
Algeria,..,,..,,..,,35.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.716,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.9,,14.5,,17.9,
Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Angola,..,,..,,..,,..,,58.6,,..,,..,,..,,..,,..,,..,,..,,58.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.278,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.264,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26.2,,..,,26.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.4,e,50.0,,36.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,53.7,,46.1,,53.7,
Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Argentina,..,,..,,..,,..,,..,,..,,..,,..,,..,,45.8,,..,,..,,45.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.641,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.708,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.468,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.796,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.1,,12.1,,12.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.4,f,34.4,,51.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.4,,9.7,,10.4,
Armenia,..,,..,,..,,..,,..,,..,,..,,..,,30.9,,..,,..,,..,,30.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.639,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.710,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.504,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.728,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.5,,6.5,,6.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.8,e,10.8,,10.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.3,,14.9,,15.3,
