,Environmental Performance Index,IHDI: Inequality-adjusted HDI value,"GII: Gender Inequality Index, value",GNI: Gross National Income,HDI: Human Development Index (HDI) value,Overall loss %
,2010,2011,2011,2011,2011,
Country,,,,(Constant 2005 international $),,
Afghanistan,..,..,0.707,"1,416",0.398,..
Albania,71.4,0.637,0.271,"7,803",0.739,13.80243572
Algeria,67.4,..,0.412,"7,658",0.698,..
Andorra,..,..,..,"36,095",0.838,..
Angola,36.3,..,..,"4,874",0.486,..
Antigua and Barbuda,69.8,..,..,"15,521",0.764,..
Argentina,61,0.641,0.372,"14,527",0.797,19.57340025
Armenia,60.4,0.639,0.343,"5,188",0.716,10.75418994
Australia,65.7,0.856,0.136,"34,431",0.929,7.857911733
Austria,78.1,0.82,0.131,"35,719",0.885,7.344632768
Azerbaijan,59.1,0.62,0.314,"8,666",0.7,11.42857143
Bahamas,..,0.658,0.332,"23,029",0.771,14.65629053
Bahrain,42,..,0.288,"28,169",0.806,..
Bangladesh,44,0.363,0.55,"1,529",0.5,27.4
Barbados,..,..,0.364,"17,966",0.793,..
Belarus,65.4,0.693,..,"13,439",0.756,8.333333333
Belgium,58.1,0.819,0.114,"33,357",0.886,7.562076749
Belize,69.9,..,0.493,"5,812",0.699,..
,,,,,,
Benin,39.6,0.274,0.634,"1,364",0.427,35.83138173
Bhutan,68,..,0.495,"5,293",0.522,..
Bolivia (Plurinational State of),44.3,0.437,0.476,"4,054",0.663,34.08748115
Bosnia and Herzegovina,55.9,0.649,..,"7,664",0.733,11.45975443
Botswana,41.3,..,0.507,"13,049",0.633,..
Brazil,63.4,0.519,0.449,"10,162",0.718,27.71587744
Brunei Darussalam,60.8,..,..,"45,753",0.838,..
Bulgaria,62.5,0.683,0.245,"11,412",0.771,11.41374838
Burkina Faso,47.3,0.215,0.596,"1,141",0.331,35.04531722
Burundi,43.9,..,0.478,368,0.316,..
Cambodia,41.7,0.38,0.5,"1,848",0.523,27.34225621
Cameroon,44.6,0.321,0.639,"2,031",0.482,33.40248963
Canada,66.4,0.829,0.14,"35,166",0.908,8.700440529
Cape Verde,..,..,..,"3,402",0.568,..
Central African Republic,33.3,0.204,0.669,707,0.343,40.52478134
Chad,40.8,0.196,0.735,"1,105",0.328,40.24390244
Chile,73.3,0.652,0.374,"13,329",0.805,19.00621118
China,49,0.534,0.209,"7,476",0.687,22.27074236
Colombia,76.8,0.479,0.482,"8,315",0.71,32.53521127
Comoros,..,..,..,"1,079",0.433,..
Congo,54,0.367,0.628,"3,066",0.533,31.14446529
Congo (Democratic Republic of the),51.6,0.172,0.71,280,0.286,39.86013986
Costa Rica,86.4,0.591,0.361,"10,497",0.744,20.56451613
Croatia,68.7,0.675,0.17,"15,729",0.796,15.20100503
Cuba,78.1,..,0.337,"5,416",0.776,..
Cyprus,56.3,0.755,0.141,"24,841",0.84,10.11904762
Czech Republic,71.6,0.821,0.136,"21,405",0.865,5.086705202
Côte d'Ivoire,54.3,0.246,0.655,"1,387",0.4,38.5
Denmark,69.2,0.842,0.06,"34,347",0.895,5.921787709
Djibouti,60.5,0.275,..,"2,335",0.43,36.04651163
Dominica,..,..,..,"7,889",0.724,..
Dominican Republic,68.4,0.51,0.48,"8,087",0.689,25.9796807
Ecuador,69.3,0.535,0.469,"7,589",0.72,25.69444444
Egypt,62,0.489,..,"5,269",0.644,24.06832298
El Salvador,69.1,0.495,0.487,"5,925",0.674,26.5578635
Equatorial Guinea,41.9,..,..,"17,608",0.537,..
Eritrea,54.6,..,..,536,0.349,..
Estonia,63.8,0.769,0.194,"16,799",0.835,7.904191617
Ethiopia,43.1,0.247,..,971,0.363,31.95592287
Fiji,65.9,..,..,"4,145",0.688,..
Finland,74.7,0.833,0.075,"32,438",0.882,5.555555556
France,78.2,0.804,0.106,"30,462",0.884,9.049773756
Gabon,56.4,0.543,0.509,"12,249",0.674,19.43620178
Gambia,50.3,..,0.61,"1,282",0.42,..
Georgia,63.6,0.63,0.418,"4,780",0.733,14.05184175
Germany,73.2,0.842,0.085,"34,854",0.905,6.961325967
Ghana,51.3,0.367,0.598,"1,584",0.541,32.16266174
Greece,60.9,0.756,0.162,"23,747",0.861,12.19512195
Grenada,..,..,..,"6,982",0.748,..
Guatemala,54,0.393,0.542,"4,167",0.574,31.53310105
Guinea,44.4,0.211,..,863,0.344,38.6627907
Guinea-Bissau,44.7,0.207,..,994,0.353,41.35977337
Guyana,59.2,0.492,0.511,"3,192",0.633,22.27488152
Haiti,39.5,0.271,0.599,"1,123",0.454,40.30837004
Honduras,49.9,0.427,0.511,"3,443",0.625,31.68
"Hong Kong, China (SAR)",..,..,..,"44,805",0.898,..
Hungary,69.1,0.759,0.237,"16,581",0.816,6.985294118
