<<<<<<< HEAD
Country,Environmental Performance Index,IHDI: Inequality-adjusted HDI value,"GII: Gender Inequality Index, value",GNI: Gross National Income
Albania,71.4,0.637,0.271,"7,803"
Argentina,61,0.641,0.372,"14,527"
Armenia,60.4,0.639,0.343,"5,188"
Australia,65.7,0.856,0.136,"34,431"
Austria,78.1,0.82,0.131,"35,719"
Azerbaijan,59.1,0.62,0.314,"8,666"
Bangladesh,44,0.363,0.55,"1,529"
Belgium,58.1,0.819,0.114,"33,357"
Benin,39.6,0.274,0.634,"1,364"
Bolivia (Plurinational State of),44.3,0.437,0.476,"4,054"
Brazil,63.4,0.519,0.449,"10,162"
Bulgaria,62.5,0.683,0.245,"11,412"
Burkina Faso,47.3,0.215,0.596,"1,141"
Cambodia,41.7,0.38,0.5,"1,848"
Cameroon,44.6,0.321,0.639,"2,031"
Canada,66.4,0.829,0.14,"35,166"
Central African Republic,33.3,0.204,0.669,707
Chad,40.8,0.196,0.735,"1,105"
Chile,73.3,0.652,0.374,"13,329"
China,49,0.534,0.209,"7,476"
Colombia,76.8,0.479,0.482,"8,315"
Congo,54,0.367,0.628,"3,066"
Congo (Democratic Republic of the),51.6,0.172,0.71,280
Costa Rica,86.4,0.591,0.361,"10,497"
Croatia,68.7,0.675,0.17,"15,729"
Cyprus,56.3,0.755,0.141,"24,841"
Czech Republic,71.6,0.821,0.136,"21,405"
Côte d'Ivoire,54.3,0.246,0.655,"1,387"
Denmark,69.2,0.842,0.06,"34,347"
Dominican Republic,68.4,0.51,0.48,"8,087"
Ecuador,69.3,0.535,0.469,"7,589"
El Salvador,69.1,0.495,0.487,"5,925"
Estonia,63.8,0.769,0.194,"16,799"
Finland,74.7,0.833,0.075,"32,438"
France,78.2,0.804,0.106,"30,462"
Gabon,56.4,0.543,0.509,"12,249"
Georgia,63.6,0.63,0.418,"4,780"
Germany,73.2,0.842,0.085,"34,854"
Ghana,51.3,0.367,0.598,"1,584"
Greece,60.9,0.756,0.162,"23,747"
Guatemala,54,0.393,0.542,"4,167"
Guyana,59.2,0.492,0.511,"3,192"
Haiti,39.5,0.271,0.599,"1,123"
Honduras,49.9,0.427,0.511,"3,443"
Hungary,69.1,0.759,0.237,"16,581"
Iceland,93.5,0.845,0.099,"29,354"
India,48.3,0.392,0.617,"3,468"
Indonesia,44.6,0.504,0.505,"3,716"
Ireland,67.1,0.843,0.203,"29,322"
Israel,62.4,0.779,0.145,"25,849"
Italy,73.1,0.779,0.124,"26,484"
Jamaica,58,0.61,0.45,"6,487"
Jordan,56.1,0.565,0.456,"5,300"
Kazakhstan,57.3,0.656,0.334,"10,585"
Kenya,51.4,0.338,0.627,"1,492"
Korea (Republic of),57,0.749,0.111,"28,230"
Kyrgyzstan,59.7,0.526,0.37,"2,036"
Lao People's Democratic Republic,59.6,0.405,0.513,"2,242"
Latvia,72.5,0.717,0.216,"14,293"
Lebanon,57.9,0.57,0.44,"13,076"
Lithuania,68.3,0.73,0.192,"16,234"
Luxembourg,67.8,0.799,0.169,"50,557"
Malawi,51.4,0.272,0.594,753
Maldives,65.9,0.495,0.32,"5,276"
Mauritania,33.7,0.298,0.605,"1,859"
Mauritius,80.6,0.631,0.353,"12,918"
Mexico,67.3,0.589,0.448,"13,245"
Moldova (Republic of),58.8,0.569,0.298,"3,058"
Mongolia,42.8,0.563,0.41,"3,391"
Morocco,65.6,0.409,0.51,"4,196"
Mozambique,51.2,0.229,0.602,898
Namibia,59.3,0.353,0.466,"6,206"
Nepal,68.2,0.301,0.558,"1,160"
Netherlands,66.4,0.846,0.052,"36,402"
Nicaragua,57.1,0.427,0.506,"2,430"
Niger,37.6,0.195,0.724,641
Norway,81.1,0.89,0.075,"47,557"
Pakistan,48,0.346,0.573,"2,550"
Panama,71.4,0.579,0.492,"12,335"
Paraguay,63.5,0.505,0.476,"4,727"
Peru,69.3,0.557,0.415,"8,389"
Philippines,65.7,0.516,0.427,"3,478"
Poland,63.1,0.734,0.164,"17,451"
Portugal,73,0.726,0.14,"20,573"
Romania,67,0.683,0.333,"11,046"
Russian Federation,61.2,0.67,0.338,"14,561"
Rwanda,44.6,0.276,0.453,"1,133"
Senegal,42.3,0.304,0.566,"1,708"
Sierra Leone,32.1,0.196,0.662,737
Slovakia,74.5,0.787,0.194,"19,998"
Slovenia,65,0.837,0.175,"24,914"
Spain,70.6,0.799,0.117,"26,508"
Sri Lanka,63.7,0.579,0.419,"4,943"
Swaziland,54.4,0.338,0.546,"4,484"
Sweden,86,0.851,0.049,"35,837"
Switzerland,89.1,0.84,0.067,"39,924"
Syrian Arab Republic,64.6,0.503,0.474,"4,243"
Tajikistan,51.3,0.5,0.347,"1,937"
Tanzania (United Republic of),47.9,0.332,0.59,"1,328"
Thailand,62.2,0.537,0.382,"7,694"
The former Yugoslav Republic of Macedonia,60.6,0.609,0.151,"8,804"
Togo,36.4,0.289,0.602,798
Trinidad and Tobago,54.2,0.644,0.331,"23,439"
Tunisia,60.6,0.523,0.293,"7,281"
Turkey,60.4,0.542,0.443,"12,246"
Uganda,49.8,0.296,0.577,"1,124"
Ukraine,58.2,0.662,0.335,"6,175"
United Kingdom,74.2,0.791,0.209,"33,296"
United States,63.5,0.771,0.299,"43,017"
Uruguay,59.1,0.654,0.352,"13,242"
Venezuela (Bolivarian Republic of),62.9,0.54,0.447,"10,656"
Viet Nam,59,0.51,0.305,"2,805"
Yemen,48.3,0.312,0.769,"2,213"
Zambia,47,0.303,0.627,"1,254"
Zimbabwe,47.8,0.268,0.583,376
=======
,Environmental Performance Index,IHDI: Inequality-adjusted HDI value,"GII: Gender Inequality Index, value",GNI: Gross National Income
,2010,2011,2011,2011
Country,,,,(Constant 2005 international $)
Albania,71.4,0.637,0.271,"7,803"
Argentina,61,0.641,0.372,"14,527"
Armenia,60.4,0.639,0.343,"5,188"
Australia,65.7,0.856,0.136,"34,431"
Austria,78.1,0.82,0.131,"35,719"
Azerbaijan,59.1,0.62,0.314,"8,666"
Bangladesh,44,0.363,0.55,"1,529"
Belgium,58.1,0.819,0.114,"33,357"
Benin,39.6,0.274,0.634,"1,364"
Bolivia (Plurinational State of),44.3,0.437,0.476,"4,054"
Brazil,63.4,0.519,0.449,"10,162"
Bulgaria,62.5,0.683,0.245,"11,412"
Burkina Faso,47.3,0.215,0.596,"1,141"
Cambodia,41.7,0.38,0.5,"1,848"
Cameroon,44.6,0.321,0.639,"2,031"
Canada,66.4,0.829,0.14,"35,166"
Central African Republic,33.3,0.204,0.669,707
Chad,40.8,0.196,0.735,"1,105"
Chile,73.3,0.652,0.374,"13,329"
China,49,0.534,0.209,"7,476"
Colombia,76.8,0.479,0.482,"8,315"
Congo,54,0.367,0.628,"3,066"
Congo (Democratic Republic of the),51.6,0.172,0.71,280
Costa Rica,86.4,0.591,0.361,"10,497"
Croatia,68.7,0.675,0.17,"15,729"
Cyprus,56.3,0.755,0.141,"24,841"
Czech Republic,71.6,0.821,0.136,"21,405"
Côte d'Ivoire,54.3,0.246,0.655,"1,387"
Denmark,69.2,0.842,0.06,"34,347"
Dominican Republic,68.4,0.51,0.48,"8,087"
Ecuador,69.3,0.535,0.469,"7,589"
El Salvador,69.1,0.495,0.487,"5,925"
Estonia,63.8,0.769,0.194,"16,799"
Finland,74.7,0.833,0.075,"32,438"
France,78.2,0.804,0.106,"30,462"
Gabon,56.4,0.543,0.509,"12,249"
Georgia,63.6,0.63,0.418,"4,780"
Germany,73.2,0.842,0.085,"34,854"
Ghana,51.3,0.367,0.598,"1,584"
Greece,60.9,0.756,0.162,"23,747"
Guatemala,54,0.393,0.542,"4,167"
Guyana,59.2,0.492,0.511,"3,192"
Haiti,39.5,0.271,0.599,"1,123"
Honduras,49.9,0.427,0.511,"3,443"
Hungary,69.1,0.759,0.237,"16,581"
Iceland,93.5,0.845,0.099,"29,354"
India,48.3,0.392,0.617,"3,468"
Indonesia,44.6,0.504,0.505,"3,716"
Ireland,67.1,0.843,0.203,"29,322"
Israel,62.4,0.779,0.145,"25,849"
Italy,73.1,0.779,0.124,"26,484"
Jamaica,58,0.61,0.45,"6,487"
Jordan,56.1,0.565,0.456,"5,300"
Kazakhstan,57.3,0.656,0.334,"10,585"
Kenya,51.4,0.338,0.627,"1,492"
Korea (Republic of),57,0.749,0.111,"28,230"
Kyrgyzstan,59.7,0.526,0.37,"2,036"
Lao People's Democratic Republic,59.6,0.405,0.513,"2,242"
Latvia,72.5,0.717,0.216,"14,293"
Lebanon,57.9,0.57,0.44,"13,076"
Lithuania,68.3,0.73,0.192,"16,234"
Luxembourg,67.8,0.799,0.169,"50,557"
Malawi,51.4,0.272,0.594,753
Maldives,65.9,0.495,0.32,"5,276"
Mauritania,33.7,0.298,0.605,"1,859"
Mauritius,80.6,0.631,0.353,"12,918"
Mexico,67.3,0.589,0.448,"13,245"
Moldova (Republic of),58.8,0.569,0.298,"3,058"
Mongolia,42.8,0.563,0.41,"3,391"
