,Environmental Performance Index,IHDI: Inequality-adjusted HDI value,"GII: Gender Inequality Index, value",GNI: Gross National Income,,SUM
,2010,2011,2011,2011,,
Country,,,,(Constant 2005 international $),,
Afghanistan,..,..,0.707,"1,416",,1416.707
Albania,71.4,0.637,0.271,"7,803",,7875.308
Algeria,67.4,..,0.412,"7,658",,7725.812
Andorra,..,..,..,"36,095",,36095
Angola,36.3,..,..,"4,874",,4910.3
Antigua and Barbuda,69.8,..,..,"15,521",,15590.8
Argentina,61,0.641,0.372,"14,527",,14589.013
Armenia,60.4,0.639,0.343,"5,188",,5249.382
Australia,65.7,0.856,0.136,"34,431",,34497.692
Austria,78.1,0.82,0.131,"35,719",,35798.051
Azerbaijan,59.1,0.62,0.314,"8,666",,8726.034
Bahamas,..,0.658,0.332,"23,029",,23029.99
Bahrain,42,..,0.288,"28,169",,28211.288
Bangladesh,44,0.363,0.55,"1,529",,1573.913
Barbados,..,..,0.364,"17,966",,17966.364
Belarus,65.4,0.693,..,"13,439",,13505.093
Belgium,58.1,0.819,0.114,"33,357",,33416.033
Belize,69.9,..,0.493,"5,812",,5882.393
Benin,39.6,0.274,0.634,"1,364",,1404.508
Bhutan,68,..,0.495,"5,293",,5361.495
Bolivia (Plurinational State of),44.3,0.437,0.476,"4,054",,4099.213
Bosnia and Herzegovina,55.9,0.649,..,"7,664",,7720.549
Botswana,41.3,..,0.507,"13,049",,13090.807
Brazil,63.4,0.519,0.449,"10,162",,10226.368
Brunei Darussalam,60.8,..,..,"45,753",,45813.8
Bulgaria,62.5,0.683,0.245,"11,412",,11475.428
Burkina Faso,47.3,0.215,0.596,"1,141",,1189.111
Burundi,43.9,..,0.478,368,,412.378
Cambodia,41.7,0.38,0.5,"1,848",,1890.58
Cameroon,44.6,0.321,0.639,"2,031",,2076.56
Canada,66.4,0.829,0.14,"35,166",,35233.369
Cape Verde,..,..,..,"3,402",,3402
Central African Republic,33.3,0.204,0.669,707,,741.173
Chad,40.8,0.196,0.735,"1,105",,1146.731
Chile,73.3,0.652,0.374,"13,329",,13403.326
China,49,0.534,0.209,"7,476",,7525.743
Colombia,76.8,0.479,0.482,"8,315",,8392.761
Comoros,..,..,..,"1,079",,1079
Congo,54,0.367,0.628,"3,066",,3120.995
Congo (Democratic Republic of the),51.6,0.172,0.71,280,,332.482
Costa Rica,86.4,0.591,0.361,"10,497",,10584.352
Croatia,68.7,0.675,0.17,"15,729",,15798.545
Cuba,78.1,..,0.337,"5,416",,5494.437
Cyprus,56.3,0.755,0.141,"24,841",,24898.196
Czech Republic,71.6,0.821,0.136,"21,405",,21477.557
Côte d'Ivoire,54.3,0.246,0.655,"1,387",,1442.201
Denmark,69.2,0.842,0.06,"34,347",,34417.102
Djibouti,60.5,0.275,..,"2,335",,2395.775
Dominica,..,..,..,"7,889",,7889
Dominican Republic,68.4,0.51,0.48,"8,087",,8156.39
Ecuador,69.3,0.535,0.469,"7,589",,7659.304
Egypt,62,0.489,..,"5,269",,5331.489
El Salvador,69.1,0.495,0.487,"5,925",,5995.082
Equatorial Guinea,41.9,..,..,"17,608",,17649.9
Eritrea,54.6,..,..,536,,590.6
