,Carbon Dioxide Emissions per capita,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide per capita emission (growth 1970-2008),,,,,,,,,,,,,,,,,,,,,,Change in forest area,,,,,,,,,,,,,,,,,,,,,,Ecological footprint of consumption,,,,,,,,,,,,,,,,,,,,,,Endangered species,,,,,,,,,,,,,,,,,,,,,,Environmental performance index (EPI),,,,,,,,,,,,,,,,,,,,,,Forest area,,,,,,,,,,,,,,,,,,,,,,Forest area (% of total land area),,,,,,,,,,,,,,,,,,,,,,Fresh water withdrawals,,,,,,,,,,,,,,,,,,,,,,Greenhouse gases per capita,,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: number of deaths (average per year/million),,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: population affected (average per year/million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,a,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1995,b,2000,b,2005,b,2006,b,2007,b,2008,b,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,c,2008,,2009,,2010,,2011,d,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1995,,2000,,2005,,2006,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,(tonnes),,(tonnes),,(tonnes),,(tonnes),,(tonnes),,(tonnes),,(tonnes),,(tonnes),,(tonnes),,(tonnes),,(tonnes),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(global hectares per capita),,(% of all species),,(% of all species),,(% of all species),,(% of all species),,(% of all species),,(% of all species),,(% of all species),,(% of all species),,(% of all species),,(% of all species),,(% of all species),,,,,,,,,,,,,,,,,,,,,,,,(thousand ha),,(thousand ha),,(thousand ha),,(thousand ha),,(thousand ha),,(thousand ha),,(thousand ha),,(thousand ha),,(thousand ha),,(thousand ha),,(thousand ha),,(% of total land area),,(% of total land area),,(% of total land area),,(% of total land area),,(% of total land area),,(% of total land area),,(% of total land area),,(% of total land area),,(% of total land area),,(% of total land area),,(% of total land area),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(% of actual total renewable water resources),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(tonnes of CO2 equivalent),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,(average per year per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,..,,..,,0.3,,0.1,,0.1,,0.1,,0.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.8,,-3.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"1,350",,"1,350",,"1,350",,"1,350",,"1,350",,"1,350",,..,,..,,..,,..,,..,,2.1,,2.1,,2.1,,2.1,,2.1,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,..,,..,,2.4,,3.6,,5.3,,5.0,,1.4,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.6,,-0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.3,,..,,..,,..,,..,,..,,..,,..,,..,,2.6,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,71.4,,..,,..,,..,,779,,769,,782,,781,,780,,779,,..,,..,,..,,..,,..,,28.4,,28.1,,28.5,,28.5,,28.5,,28.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,..,,..,,12.3,,14.0,,15.4,,14.6,,4.1,,3.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.4,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-9.4,,..,,..,,..,,..,,..,,..,,..,,..,,1.9,,1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,67.4,,..,,..,,..,,"1,623",,"1,579",,"1,536",,"1,527",,"1,518",,"1,510",,..,,..,,..,,..,,..,,0.7,,0.7,,0.6,,0.6,,0.6,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,..,,..,,..,,..,,..,,..,,6.6,,6.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16,,16,,16,,16,,16,,16,,..,,..,,..,,..,,..,,34.0,,34.0,,34.0,,34.0,,34.0,,34.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,..,,..,,3.3,,2.5,,2.2,,2.3,,2.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.0,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-3.7,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.3,,..,,..,,..,,"60,352",,"59,728",,"59,104",,"58,979",,"58,854",,"58,730",,..,,..,,..,,..,,..,,48.4,,47.9,,47.4,,47.3,,47.2,,47.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,5.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,..,,..,,17.4,,16.5,,18.1,,18.5,,5.1,,5.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.0,,-0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,69.8,,..,,..,,..,,10,,10,,10,,10,,10,,10,,..,,..,,..,,..,,..,,23.1,,22.7,,22.3,,22.3,,22.3,,22.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,..,,..,,12.9,,14.0,,15.0,,16.3,,4.7,,4.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-14.1,,..,,..,,..,,..,,..,,..,,..,,..,,3.0,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,61.0,,..,,..,,..,,"33,327",,"31,861",,"30,599",,"30,359",,"30,119",,"29,880",,..,,..,,..,,..,,..,,12.2,,11.6,,11.2,,11.1,,11.0,,10.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,3.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,..,,..,,4.0,,4.1,,5.3,,5.3,,1.6,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.6,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.4,,..,,..,,..,,326,,304,,283,,279,,275,,270,,..,,..,,..,,..,,..,,11.4,,10.7,,9.9,,9.8,,9.6,,9.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.4,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
